iteration,mean,std
0,-119566.00615197278,620.5477171724621
10,-76812.93815453621,27972.76056236322
20,-68131.35159324619,26111.635609228157
30,-63356.76593751363,25627.519373493757
40,-62957.90622750526,26244.63667004593
50,-62567.494520558605,26638.195096904372
60,-62295.191005225795,27023.516747753372
70,-62134.28211858183,27220.86874056201
80,-61875.02015095243,27574.993170526603
90,-61780.85097087365,27466.457842573487
100,-61600.04133642779,27971.786376213466
110,-61444.54451276809,28143.551969297834
120,-61396.556715556086,28253.249030345927
130,-61314.2643907082,28415.638943888604
140,-61192.82897660766,28264.105935770473
150,-61117.75353049308,28599.77882299089
160,-60967.64326302387,28577.284072788494
170,-61042.59010350208,28979.687683043867
180,-60241.11159835731,28362.388348627584
190,-60170.750380382975,28601.492900821264
200,-60158.70318277822,28722.42047830424
210,-60340.732492563875,28300.33938938377
220,-60129.11239174115,28493.181502405456
230,-60200.68006900665,28582.14961547399
240,-59988.655599534555,28442.62818911081
250,-59903.577537581165,28560.10426485175
260,-59891.458296497076,28653.78845501568
270,-59881.16529624593,28692.262142565152
280,-57339.180565332106,26211.809038304884
290,-56170.13708911118,26576.297115592657
300,-55767.371651335445,27192.94192105416
310,-55546.41673533969,27335.67340486393
320,-55436.08650746086,27329.6334104605
330,-55230.776626963925,27532.143995375973
340,-55088.70396203305,27882.456026918226
350,-54062.53116032978,27212.380256180062
360,-53710.20702485037,26950.89057545043
370,-53561.48916255023,26989.36584000064
380,-53488.03699345076,26972.379852095746
390,-53525.55941610219,26997.20033132937
400,-53480.45587240586,26987.21016060528
410,-52492.59767182204,25876.32465732394
420,-52202.81596382583,26296.48367353095
430,-52658.06633788768,26781.356071204533
440,-52024.58430741192,26305.760858126956
450,-51280.183049694475,25823.43454728106
460,-51080.96593103295,25750.73648908387
470,-51050.130839358004,25728.392479345304
480,-51009.364398002755,25752.17393931475
490,-51011.702293482966,25798.69043833862
500,-50403.71689146994,25742.857080729038
510,-50172.1643455669,25928.470766979004
520,-50379.677934450956,25576.557014083523
530,-50135.68665920365,25818.16351567275
540,-50165.65450443193,25833.27545425737
550,-50112.990432394305,25884.494608668265
560,-50022.89982578166,25960.18533044356
570,-50036.2481601927,25998.9537700055
580,-50047.08804384674,26035.4742410836
590,-50053.10579320423,26044.385079522737
600,-50048.40954181242,26047.304765360586
610,-50047.77207926237,26039.317813198053
620,-50050.98571973881,26045.212750207484
630,-50052.73239902288,26044.18133574047
640,-50042.12643214963,26035.43431503652
650,-50038.945569882075,26008.422988793944
660,-49995.66440441055,26009.754643621724
670,-50019.52528513306,26025.49242837416
680,-50009.795518882675,26031.52878204833
690,-50006.18309979511,26034.21448090677
