iteration,mean,std
1,-117762.563671875,2668.7497213072015
2,-99924.5578125,8751.102699842582
3,-83188.062109375,4785.716529288896
4,-64267.8775390625,4608.962579818894
5,-72807.062890625,4282.11650733468
6,-61838.523046875,4699.039507126794
7,-61273.35859375,6464.372842610231
8,-73253.3546875,10069.01353123399
9,-55524.1060546875,4632.462267775102
10,-77925.7517578125,11915.975611492813
11,-72341.486328125,3998.680578165499
12,-66789.9478515625,14628.659901708066
13,-59891.0740234375,6273.665340987502
14,-72072.9912109375,6657.484396197089
15,-57723.041015625,7460.576182564122
16,-62154.5095703125,11613.38900050642
17,-71002.4580078125,7875.147822235915
18,-52951.0921875,3470.772765599946
19,-55449.5720703125,6429.735055014333
20,-55513.85234375,5417.884535032426
21,-54983.83125,4291.075583430098
22,-54895.745703125,4343.645671304808
23,-62735.208984375,6347.762269470092
24,-59767.441796875,8859.014886819405
25,-56015.036328125,7964.801854173765
26,-47862.5259765625,6922.877537552689
27,-64942.3876953125,8300.084131705516
28,-52527.7869140625,7061.677386547205
29,-53749.1013671875,3980.212679050193
30,-50969.519140625,6451.640084693091
31,-51680.5439453125,7305.7140298941285
32,-50318.816015625,7096.204279627001
33,-65960.5943359375,11819.466623815535
34,-53022.45,2619.102970137541
35,-62509.785546875,8872.834335929454
36,-48829.287890625,4361.859817570743
37,-63915.90439453125,16851.153946449616
38,-59699.61328125,7872.935973742526
39,-55053.6720703125,12774.368211010165
40,-54198.30234375,3579.8982404423596
41,-49257.3806640625,3226.0665606575035
42,-49672.15732421875,12187.266359475701
43,-51555.551953125,4065.3540832015397
44,-46807.7048828125,2539.356901420969
45,-55026.8142578125,5391.803934600071
46,-48597.4931640625,7408.480318613383
47,-50085.470703125,3743.295157678083
48,-56912.4279296875,9313.151839366905
49,-53508.4751953125,5405.493137088332
50,-49896.590234375,6041.518054516349
51,-54102.1341796875,3683.681273576056
52,-59798.1669921875,16162.475692317938
53,-54579.3912109375,4562.968658583622
54,-51478.3779296875,4036.6440759037678
55,-50313.481640625,8986.467969409892
56,-53072.9833984375,4186.690183573901
57,-56954.5328125,6579.348077990974
58,-51353.9642578125,7910.474776380601
59,-54899.9978515625,8261.744216850846
60,-53630.596875,11548.053477619766
61,-48461.8619140625,11998.13792156276
62,-55165.3849609375,6798.802553556913
63,-49091.12109375,11536.364603649738
64,-47685.9416015625,15548.819563825686
65,-51824.0873046875,8378.430241817665
66,-63875.4251953125,8608.768877315306
67,-50754.5591796875,8094.137276472986
68,-48608.42666015625,14473.71264278998
69,-47526.312890625,5188.632373559058
70,-54446.3818359375,9284.970282231156
71,-48712.9099609375,15942.048412768367
72,-50060.8099609375,5505.547981466954
73,-47045.8673828125,8978.101142710133
74,-60062.6193359375,10790.258697727677
75,-53590.1275390625,6457.919529468645
76,-64216.8744140625,11165.972845731954
77,-46673.91943359375,14385.779720183227
78,-51622.555859375,8239.760235868891
79,-52230.93359375,5510.050531034191
80,-43867.744921875,10593.529789832375
81,-57001.9142578125,8917.473224117073
82,-54265.924609375,2623.4604674760467
83,-45956.21875,5405.80444804408
84,-51847.9087890625,6177.244574072796
85,-44661.86982421875,13493.158637690722
86,-53504.232421875,3362.839819243004
87,-48543.6265625,6083.316902870943
88,-49531.618359375,5536.813251449396
89,-43530.65078125,7762.286895552257
90,-61781.38203125,8948.586748412587
91,-52015.1494140625,2319.733693565935
92,-50887.5380859375,3451.37760986965
93,-56579.37890625,9115.782840784872
94,-50322.7001953125,4678.445494981702
95,-44456.7720703125,6774.616398588627
96,-53355.9201171875,4900.645023381847
97,-53567.8021484375,2793.65485494294
98,-47977.36484375,4942.753065387728
99,-54581.0705078125,5275.9446625870205
100,-44929.0146484375,12404.972348684278
101,-53351.4048828125,7053.69973602782
102,-55258.8517578125,1934.1468692799172
103,-45171.139453125,7281.945906419494
104,-49033.9009765625,4464.193895386067
105,-55294.503515625,1897.2366731632387
106,-47631.26796875,5938.105849756365
107,-47155.501171875,4057.0011578561
108,-52774.20859375,2160.402352284996
109,-45190.8615234375,9762.513291504509
110,-49289.5853515625,6441.402014237976
111,-56656.8466796875,9227.764614736283
112,-53500.11484375,4683.626126498063
113,-52259.3794921875,2155.734738235138
114,-46380.7802734375,4465.949599323044
115,-42289.070703125,8239.97313798525
116,-60072.179296875,4041.4895484014055
117,-51137.1927734375,3059.5481492761924
118,-50797.4666015625,2112.031383922598
119,-49652.3125,3228.3617622117376
120,-53893.4939453125,4373.183926918005
121,-43484.0822265625,8868.502844915336
122,-41175.6408203125,15431.598471472693
123,-51657.1416015625,2285.860468971984
124,-46795.0861328125,3334.806337891126
125,-45716.46484375,3961.2375721383505
126,-49360.2876953125,2588.5974941086433
127,-49042.694921875,2718.2424938492686
128,-49566.610546875,4292.673936128607
129,-55166.0279296875,4541.9800179990225
130,-69246.3314453125,8161.945273400846
131,-42638.80517578125,10134.779458127663
132,-49350.733984375,3596.6329134539387
133,-63137.430078125,7585.705290354764
134,-47554.165234375,5270.708965675886
135,-47336.8740234375,4985.470673513099
136,-42834.6791015625,6631.803509998428
137,-55217.5423828125,9365.466840411114
138,-58696.8361328125,5220.170863364896
