iteration,mean,std
1,-113103.302734375,4415.067982485792
2,-80547.01875,9813.656729298978
3,-70658.4041015625,3393.6677333791336
4,-79704.534375,7398.448502372858
5,-96086.11171875,10807.394504274711
6,-73160.2701171875,8360.989920751377
7,-76596.023046875,5460.6369033039155
8,-68154.816015625,7102.928455554863
9,-53632.8626953125,1473.79900104018
10,-64567.6255859375,3036.0568606278416
11,-58193.5951171875,3585.5495031029445
12,-73113.6265625,4239.917011572799
13,-57579.0611328125,5481.085227612595
14,-59323.2185546875,5374.2072600790725
15,-53932.3626953125,4894.001015865356
16,-56612.817578125,5307.113200375846
17,-57377.8826171875,2639.4030182889255
18,-52255.9419921875,6665.958858568963
19,-63287.9861328125,8936.85042728372
20,-58396.5123046875,8805.647816895109
21,-61239.091796875,10440.955065353071
22,-50253.77109375,4199.904254279829
23,-55744.7564453125,5961.297625361757
24,-60890.98515625,5128.482071189132
25,-53455.302734375,3583.595201980699
26,-67729.441015625,11957.05256656284
27,-55308.807421875,3746.47937815089
28,-52962.7134765625,2838.72266875071
29,-54656.06171875,9339.221578362572
30,-64259.34453125,9521.343130844729
31,-54988.7248046875,3161.358929432311
32,-63579.674609375,11759.86139131008
33,-69498.3541015625,5904.511221230619
34,-65849.4564453125,9563.477250072036
35,-58770.6109375,6678.274292421128
36,-49341.239453125,2765.0094415301633
37,-67062.134765625,8446.576298543123
38,-73575.976171875,9838.073203334045
39,-56440.866015625,7004.309825014572
40,-55017.8359375,10477.255020258219
41,-55627.9404296875,3364.450377978993
42,-55174.2609375,8868.017126161352
43,-55445.43828125,5326.514239050295
44,-56022.189453125,5187.9237789463
45,-70001.156640625,10146.647820659386
46,-54326.33125,3696.541664889244
47,-56416.78515625,5845.490934648109
48,-57430.5783203125,4846.712827851052
49,-53379.664453125,7764.186645993573
50,-58313.8416015625,11677.536965093626
51,-58564.787109375,5838.432866762836
52,-54264.5703125,3532.105869776521
53,-53600.2654296875,7752.126359054951
54,-55179.8703125,3859.943400885464
55,-56860.9103515625,8275.878117171465
56,-58406.4625,6219.948087875304
57,-51389.910546875,7082.562711252797
58,-64531.9572265625,4455.454697137207
59,-54153.2923828125,4281.86015031393
60,-59601.4287109375,6224.433902246417
61,-60096.7841796875,16639.428449256156
62,-50491.9521484375,5296.105124637421
63,-51289.0890625,5375.031343586591
64,-53767.683984375,5927.404409947656
65,-78346.255078125,7512.312806446485
