iteration,mean,std
0,-119658.32702575906,507.4803532566156
10,-17316.428097805096,8384.28609166726
20,-1116.2001039364445,4655.63543258764
30,-3987.6586182013243,5189.109306764257
40,-1742.5510952365457,5860.798903027658
50,-391.4786205541076,5722.090626167396
60,402.8554395130336,5010.0596562510045
70,2115.303508339564,4760.452426546595
80,2817.819647669796,5126.118087258353
90,3029.6122401227594,5306.398733027932
100,4308.46151602467,5169.16847498251
110,4995.590923500708,4865.099528776212
120,5323.204629559239,4687.48808844969
130,6042.030265566541,3945.748387651805
140,6146.882665896493,4037.4148771316077
150,6836.8315311909155,3297.8493222730485
160,7142.261365436793,3184.328325943617
170,7349.712242448646,3122.7660400608693
180,7514.380928428483,3302.384373701654
190,8120.036031798595,2967.692654944004
200,8456.764508807133,2801.535469526921
210,8842.029472928105,2658.7352519686146
220,9146.684424576744,2994.5751285501306
230,9544.178900114055,2981.5488526648414
240,9606.411840293826,2855.1107371400344
250,9643.711201449833,2663.874545839885
260,10127.983804448735,2459.6100359615016
270,10072.50642081685,2456.950563018107
280,10006.013774717558,2414.541858432884
290,10505.707025105065,2090.8262085090414
300,10529.757377020207,1903.5849853114853
310,10780.199319690279,2008.1623986119882
320,11079.404231679197,2183.4882747839597
330,11167.342413449542,2227.3623135246894
340,11105.777137442386,2224.148775842299
350,11157.050044715415,2295.4067571008686
360,11404.959197220536,2093.1703057484933
370,11161.93566505876,2179.375797059961
380,11312.281214193528,2069.666073406126
390,10619.178504655629,3453.030381531119
400,9322.402154391202,9241.605282163047
410,11996.18970938693,2273.356373506951
420,11897.861310098584,2066.110064521824
430,11689.8225677258,1755.1015611918651
440,11995.394619956376,1998.7750261273613
450,12280.073577436611,1909.669247378795
460,11603.431478195276,2642.5939436874296
470,11472.400715963016,3410.379759222035
480,11694.744239748446,3099.137848007415
490,11681.28615886044,3053.631741186045
500,12681.868502824502,1292.484294350411
510,12463.14795397333,1087.6089404423433
520,12731.484164834514,1404.0645184463074
530,12874.295269068045,1447.9431891128597
540,12649.999375274598,916.6979960819851
550,12733.671111300486,916.9810334931179
560,12712.31836649301,901.0744653049514
570,12497.624037836043,1223.011228035895
580,12348.735284746159,1425.6841972770062
590,12210.576814376918,1628.6620071964455
600,11998.409570837035,1830.9491089429703
610,12354.27508933268,1638.5367578297466
620,12772.326734053351,1591.4500745414496
630,12454.183006617524,1550.317798056866
640,12062.46494471195,1927.0260956477457
650,12938.812142200859,1428.2361386657424
660,12663.461584613771,1348.5719195310394
670,12409.920594508982,2040.6736274192904
680,13106.840228966596,1674.2979754598002
690,12753.963474615748,2714.1806139271625
700,11899.48304182855,3702.3116932229254
710,13198.55209996379,1799.6498502411719
720,12740.190578857855,1895.9315574843106
730,10590.104429442255,8325.149150095986
740,12204.683020822415,5787.434711462843
750,12289.022366076124,5827.288463935401
760,12380.759970455645,5621.331371805771
770,12224.14841235602,5672.294884366476
780,12498.72618178955,4063.7528386776053
790,12122.846763496045,4264.817738745825
800,12742.955847436406,3829.558999190133
810,12896.466336143823,3866.3351427953157
820,12074.52499366909,5009.253238315449
830,10870.215503038757,8661.40342111425
840,11490.252330859177,4550.30140578165
850,11769.138265209162,3640.4040144843625
860,11452.551586944543,4800.989096616244
870,12212.374889068098,3516.9820786156442
880,11914.6328879636,4292.604627693227
890,12442.841457820987,4419.11074564689
900,12068.74581632285,4401.523474446879
910,12882.759218638912,3475.469710997203
920,12698.557867914587,3540.5592330223867
930,12695.159372304912,3960.12769525905
940,12962.362604100026,3671.0753080178547
950,12943.376788290558,3672.7310438296886
960,12858.444030282753,3497.011158348763
970,13528.878715601448,3139.196363580365
980,13268.404311877845,2812.4398228846258
990,13654.845543691616,3346.6355526329858
1000,13489.35236387681,3410.581310674315
1010,13762.023462931753,3536.884388468935
1020,13315.201053756226,3559.9661409660102
1030,13469.689352123736,3139.5135878173132
1040,13201.261564781962,3583.633981491284
1050,13467.039536727321,3701.0060111947705
1060,13571.49776775893,3569.7076259096098
1070,13531.552874575695,3864.068562403604
1080,13823.038143341264,4208.265738571661
1090,14122.140674279639,3472.4717200928562
1100,13710.039892917102,3351.026313001001
1110,13455.370569212286,3033.551423644742
1120,13413.257174682527,4666.1050428162125
1130,13885.99594214941,3903.0583400128853
1140,11140.807311982038,14264.385211274262
1150,13115.746209390065,5179.611298799213
1160,13244.370311807183,4904.08728061896
1170,13596.772267461914,3598.5138040821435
1180,13524.427960492842,4028.1776636354216
1190,13310.238311543717,4626.895837039291
1200,13546.19492616878,5628.782200890919
1210,14159.913861988909,3697.9498414053633
1220,13640.449467845212,3227.5949489002874
1230,14021.709287037083,3696.4420541362024
1240,13891.98005565008,3722.7089982085276
1250,13933.135807918345,3548.113163786569
1260,14088.373349329984,3675.8973676193614
1270,13833.855499378256,3764.362258918471
1280,13999.366492422778,4060.2479753676853
1290,13423.338976381468,3823.204282815186
1300,12833.639240559569,4188.509436643047
1310,12548.237815382583,4552.038895864476
1320,13434.952211041533,3659.5741107301733
1330,12810.850127644113,3953.4372387230446
1340,13709.246659161485,2827.677324476233
1350,14007.326136370266,3091.0166219748135
1360,14448.766189420634,3293.4991147037035
1370,13783.350403169228,2962.9711499455416
1380,12928.278773554444,4432.984642106888
1390,12875.756019846753,4504.53751251128
1400,13749.642755838257,4443.873219487888
1410,13127.81697035985,7030.429982610588
1420,14220.28598204627,4107.315778834904
1430,13628.057098114801,4515.600262931729
1440,13041.52264448778,5134.774664456709
1450,14022.550370610756,3386.1325024445105
1460,14398.11339953868,3273.521633294924
1470,14160.6707802399,3323.875641943858
1480,13845.079198367941,3274.2566109870645
1490,13925.63859111795,3245.3483348430245
1500,13466.376121120742,3422.6843047608054
1510,13499.22120293955,3941.391551708728
1520,13751.61188161585,3904.304514727746
1530,13308.66929233146,3194.7870607926443
1540,12776.150537030442,3667.4969064568913
1550,12406.790206566586,4591.322401476441
1560,12603.045149990976,4745.05071131982
1570,13698.001072702467,2997.2447860153397
1580,13351.492455066546,3423.24758689158
1590,13124.943161719906,3579.2285928169213
1600,12725.227966920018,3362.4326822877474
1610,13588.836376865904,3205.25160902233
1620,13534.34412074386,3984.1812862036754
1630,13909.884036187612,4045.5092381609506
1640,13550.125669544723,3832.1829898656715
1650,13356.532241431874,3491.544405680951
1660,14184.012770410225,3058.330637666905
1670,14277.811989699976,3057.532276956862
1680,13943.122555384596,2906.8345540121904
1690,13076.921502216552,3668.7065950439614
1700,14050.26393471289,3189.947728645122
1710,14448.253201067328,3192.509404891838
1720,14250.765013557946,3681.531505644345
1730,13564.26846041741,4793.891153237856
1740,14803.839178089858,3664.795589580341
1750,14986.2151983647,3867.2506883585334
1760,14787.398789243782,4266.519354125373
1770,13993.69225570806,3725.447618442025
1780,14176.717113143652,3375.6964391865254
1790,13954.927318282818,3360.018934063267
1800,14102.712016868269,3164.873637285805
1810,13427.402299814154,3945.6562254616856
1820,12677.209015347948,5873.030875288442
1830,12912.31840113999,5544.010001523807
1840,11780.527394913104,7637.875589561174
1850,13544.522239237363,4849.403780513977
1860,13133.545294080914,6114.216524057907
1870,12926.712226592177,7714.280948246603
1880,11663.236544780684,8273.235105174997
1890,11929.886000883158,7950.8093699096
1900,12667.600889271444,5566.502445046223
1910,12862.885869229465,5705.619288377094
1920,13592.438212684816,4184.403635504494
1930,11161.336894699005,11449.035575173883
1940,12739.2275877924,5110.595044223701
1950,13312.865465783494,5823.448536266789
1960,12805.544266119989,5917.632507313846
1970,13356.861108106841,4650.36928086968
1980,14141.4358201831,3783.006201533058
1990,14713.309640889394,4197.492107810124
2000,15177.11981349502,3578.5843261857185
2010,14340.307944813214,5882.034879335034
2020,12816.491165611078,10015.6558406161
2030,15214.256405539662,4072.569245381054
2040,15175.88911175542,4047.585607643861
2050,14243.57314251305,3811.1409383752875
2060,14789.568974996344,3383.095491650017
2070,14877.69039214105,3582.0411935779307
2080,15233.531187068738,3549.685677912189
2090,15516.497555807087,3707.3398225624114
2100,15613.911775499237,3938.6925317862197
2110,15409.085280806281,3742.051772586904
2120,14946.217278658729,3628.3237208389282
2130,14821.641518651319,3417.6560394069556
2140,14830.484773376378,3596.4574157120646
2150,14448.879773176921,3554.7043842405465
2160,14514.535086673082,3785.717872864462
2170,14247.962424084786,3998.8747723144534
2180,14178.08325721398,3866.523304438412
2190,14477.36526449018,4062.914681486838
2200,13581.694076517833,5423.147599638501
