iteration,mean,std
1,-3763396.75,12596.85807850513
2,-3654430.4,21147.91127251105
3,-3544330.9,50688.32254341231
4,-3264342.8,61827.09552764872
5,-3051072.75,74443.73266047989
6,-2794835.25,135143.75762128268
7,-2534946.65,98999.02252113401
8,-2316954.95,174374.3092448254
9,-2075707.75,175476.4509814636
10,-1973234.85,188511.55913388974
11,-1921612.575,187543.34029591002
12,-1947094.575,167779.72862799902
13,-1982122.05,158209.5005320003
14,-1881684.175,230735.4147932703
15,-1898357.1,263094.10347045265
16,-1850726.075,211104.03705465345
17,-1882562.375,230107.76617729844
18,-1872115.225,261536.65022858648
19,-1845765.35,270428.14347329864
20,-1851267.15,238237.947618623
21,-1867158.75,257133.83855225812
22,-1817982.35,234080.37264609296
23,-1792211.7,247822.21816275877
24,-1863323.6,204330.25295553092
25,-1832836.325,213412.43809844472
26,-1813280.925,231900.50140035275
27,-1826607.025,240668.1790808067
28,-1768299.8,197357.10042975715
29,-1820578.1,217001.9025914491
30,-1762070.3,245142.99562165752
31,-1808005.475,242962.8209328847
32,-1805430.775,238312.960809683
33,-1783586.75,257097.8222424905
34,-1790198.8,204237.57314230895
35,-1772102.2,221964.2447694082
36,-1754212.375,230131.05134846535
37,-1800593.825,234570.29333628868
38,-1770184.825,238158.56997084946
39,-1781212.95,253011.84067388033
40,-1810423.5,240446.8478156867
41,-1744442.275,216878.62711525138
42,-1716692.1,210204.6433319564
43,-1811344.325,198542.89833573435
44,-1727233.075,199685.6882202096
45,-1776029.7,222874.5744874878
46,-1765867.625,220254.37564665996
47,-1745301.925,222696.28601002757
48,-1757394.4,204678.89822856372
49,-1728226.875,196770.1899335555
50,-1727891.575,216940.64821163644
51,-1750364.925,208393.27514644034
52,-1715443.625,198826.88143602465
53,-1677823.975,192496.08505544014
54,-1729795.35,205455.4494492267
55,-1674086.875,206252.69901773406
56,-1716897.0,232773.99939057036
57,-1680094.125,215241.24377654714
58,-1698826.2,182036.46990236943
59,-1677392.1,212052.82783428047
60,-1689381.075,207293.37858946435
61,-1753324.825,243031.84707562762
62,-1704359.225,249184.47778453716
63,-1673954.925,179111.7497641591
