iteration,mean,std
0,-3810201.4915879183,9195.035155439398
10,-2008737.4306277558,95331.72066195309
20,-1811717.00007554,71486.64013963753
30,-1743908.66773384,61051.6849071028
40,-1766901.5623166494,66343.18171813204
50,-1719279.7016789939,75261.81485985276
60,-1720266.534090431,62184.0368468116
70,-1706279.6243651924,59287.18038524604
80,-1683402.18637682,42498.91588368484
90,-1681611.7808651037,51286.95863288856
100,-1623699.6790758404,59489.70917381486
110,-1578577.7331661996,78516.70616645429
120,-1555695.6420346254,50945.396075544035
130,-1546111.5271358187,48600.03968745721
140,-1542459.1515281082,45958.07168421279
150,-1523223.9308663749,51820.06548487113
160,-1526601.8262643,47160.491239057184
170,-1511592.9058823178,47714.49945845818
180,-1541669.9414297247,55526.90083003386
190,-1551513.9793518942,50872.49412349858
200,-1528259.628957151,47043.94584815047
210,-1541097.8924685563,48694.306451781034
220,-1540925.6624788297,57551.91087761773
230,-1541746.3404935994,45922.107386231226
240,-1517241.6677443632,44602.46813535783
250,-1518749.8925434486,57813.21658455152
260,-1530551.4975265288,52601.85983475966
270,-1524486.3799674355,64626.67756117356
280,-1533553.3607056495,63910.49469426221
290,-1521997.089311476,49948.69708220103
300,-1525959.8777328634,54075.643625594545
310,-1535637.5940829436,43547.18236433547
320,-1532694.5285793766,51825.676529979006
330,-1549408.58325611,58927.85527477622
340,-1545106.6374305573,47239.52518009197
350,-1538127.2160499147,48145.04229862973
360,-1541402.001475352,49917.14130454981
370,-1544537.569515871,46746.19885830821
380,-1546032.1478784354,53908.862670460556
390,-1540129.9236818873,59247.10938671335
400,-1551988.6682354654,62666.98150308424
410,-1541153.8201336968,54721.00995171989
420,-1531037.1275561128,59197.77193198366
430,-1540008.1256175695,49493.84614650015
440,-1525724.5126144458,56417.54125063628
450,-1518438.435067139,45832.92307448165
460,-1531173.7683187448,56660.80742704791
470,-1530661.792015743,49979.23261682541
480,-1538869.7090084949,44478.44758413303
490,-1518139.8627143065,46433.76664046793
500,-1535226.1304314504,54132.660172786746
510,-1536998.8399869592,49404.3817018237
520,-1537443.6623225994,58266.13972695447
530,-1522881.1621937905,55433.1296930963
540,-1538136.6385388533,63891.86673723902
550,-1537913.334319218,59274.95375775235
560,-1537625.3884173783,54129.54130316252
570,-1524929.9081063946,39121.66182112663
580,-1519379.3134828485,47802.682396531374
590,-1518668.847169082,43575.34887792527
600,-1526886.3790227599,50489.88449940505
610,-1529003.5094543558,68283.48581248798
620,-1535604.8711847945,60767.91022557955
630,-1510681.118388961,49476.60009834912
640,-1513947.8713365973,52283.06400788883
650,-1511915.8072211395,57272.85804675019
660,-1508575.0510003963,65041.00461509546
670,-1514880.680908849,71525.30108525541
680,-1516608.0443536744,75540.37728915559
690,-1521188.6857888948,78873.91313712926
700,-1508143.1432947519,62688.18163781081
710,-1496808.8019194403,53788.132513318655
720,-1502373.665116323,63408.760952694145
730,-1489447.9128847835,62337.28017870648
740,-1486202.398871111,65351.50387112715
750,-1477660.4872650253,76424.42070456587
760,-1461424.3695037789,73447.30257198827
770,-1455120.613245063,77122.79545504504
780,-1454635.5669875676,76050.29390503181
790,-1453073.857152077,66586.99340531428
800,-1465645.8092881914,58431.86168809968
810,-1466989.2124796784,73852.88891366453
820,-1467727.3267930215,80992.20914538682
830,-1456768.4433624768,83563.46174715972
840,-1442873.2103984817,86802.93674662334
850,-1441798.3338821174,74789.03636512716
860,-1444906.2387944423,64763.9760862245
870,-1444976.4251412689,71877.64489404754
880,-1437840.153868137,80095.87936996615
890,-1438683.3197387145,75242.20294125515
900,-1453819.5730864124,74512.39759152236
910,-1445256.9260993176,74222.54284978122
920,-1451524.7116988092,81767.74706889768
930,-1448614.0025739383,81989.82520763739
940,-1451216.5805115872,77508.75180895271
950,-1438088.7676448827,87897.6489537742
960,-1423576.8525892242,79996.13250380864
970,-1436769.1761743268,84406.35231330285
980,-1424489.8370304427,84712.96895596733
990,-1454695.166171393,73803.72815370618
1000,-1449566.3375840667,82503.84817468874
1010,-1449282.471818916,74280.8363318966
1020,-1438786.2624342232,75948.64085081963
1030,-1431488.1575929928,71981.76938944664
1040,-1437148.5944750325,82529.42515700121
1050,-1432332.4999590507,77432.66100543816
1060,-1431475.1120037423,75633.0521090155
1070,-1428002.871200658,63329.053326368376
1080,-1418875.8077210092,69832.61690203307
1090,-1401333.7311392636,69125.57262209836
1100,-1416245.3870841875,80421.79178472786
1110,-1397153.1525085769,82681.89658392691
1120,-1382912.248772171,77195.9723064959
1130,-1401342.5073208925,79321.84075700578
1140,-1383854.0090393391,77046.28289937174
1150,-1405888.6756876847,77849.26158544804
1160,-1423826.2577324866,78741.85597033823
1170,-1427885.1039073963,78415.58746781491
1180,-1410925.679081411,76218.33526970785
1190,-1416349.1113946638,73387.55992667712
1200,-1414588.6001146585,66185.96510374591
1210,-1406044.4304265638,71745.20938350761
1220,-1400748.6564632684,73037.82462268026
1230,-1411127.3058494215,78471.19357035005
1240,-1409206.9773258239,77918.46975196562
1250,-1396868.74008547,90251.29071382768
1260,-1399501.0337677894,73445.06077466687
1270,-1410253.2501197997,72195.27326451661
1280,-1404770.8446469982,70347.80348798362
1290,-1400086.3736856547,69028.66159133968
1300,-1378565.416713308,70603.99801128912
1310,-1380015.6696332635,68711.12086374123
1320,-1385222.08538192,71528.2855279852
1330,-1377425.5435185195,81336.14699308481
1340,-1394790.7242701869,80042.12580183655
1350,-1396149.5482516217,82840.14124849481
1360,-1376656.3227387075,86565.84246216548
1370,-1370166.2910758904,95870.52554817872
1380,-1394643.9221691778,99060.13600810702
1390,-1389467.1497943639,92791.46781869698
1400,-1374117.8213286938,75600.02756941887
1410,-1373345.124775864,76256.99032277985
1420,-1373296.7851221575,74567.1562799811
1430,-1368674.376394495,87679.83198068744
1440,-1367044.3073297634,88615.18535384328
1450,-1378442.5653317557,93928.43759993682
1460,-1384583.310094697,81096.77541944578
1470,-1374432.6368033143,82011.38474653439
1480,-1359843.3118431747,88288.41134372927
1490,-1350995.2801596182,80410.33701249096
1500,-1340337.459135128,85851.98025704875
1510,-1337614.777146365,82264.84070511018
1520,-1344776.2984310202,80483.17918925137
1530,-1343107.5890146415,94364.97069761672
