iteration,mean,std
0,-3810201.4915879183,9195.035155439398
10,-2116774.411925095,208253.75789291257
20,-2016254.5433514356,184398.18128130824
30,-1916155.3302816595,157958.76823006483
40,-1827052.9353514146,179204.79316638148
50,-1702877.336524773,155402.28089679306
60,-1646382.975778705,144434.66148545672
70,-1580665.7488898786,150864.4870182938
80,-1536873.5297801136,162084.77383325415
90,-1525321.821117764,140535.9008552421
100,-1501240.291342788,131817.6501821148
110,-1445232.732914822,134048.66252275478
120,-1435447.0556714602,132204.43999142645
130,-1419715.321039535,144812.14855966932
140,-1358749.830962729,138671.7593404416
150,-1356680.8197475858,131643.03536358726
160,-1352051.0424068747,129066.1389208407
170,-1338966.4572573833,124618.43274422878
180,-1328433.8234833404,110790.92211238973
190,-1324149.8516401108,106302.42697983551
200,-1319297.2746588641,101163.15421868522
210,-1313897.5519619095,107941.85354373064
220,-1306119.3678118386,106154.21650349996
230,-1313731.9849456134,98188.05354934635
240,-1313880.261374832,109136.65639747723
250,-1307593.619680769,97131.66321498518
260,-1304248.1878248057,91624.4733293201
270,-1298219.4929707362,87735.02743630097
280,-1302511.3362196186,93350.06173617668
290,-1296519.8905268586,86977.98835865849
300,-1286797.038169363,88515.16406953451
310,-1293623.7181926523,94476.52146532468
320,-1291820.0883168564,91922.04460113058
330,-1293961.039857829,92270.44011443532
340,-1296591.1217111745,90840.90273836968
350,-1300513.58635347,92703.76146202316
360,-1298711.2230674303,86775.02760460168
370,-1297986.2202972623,92607.31639748941
380,-1300695.4879891968,93208.65059502255
390,-1297111.9923276291,91719.56270502393
400,-1294815.9941846835,87394.15973797697
410,-1303376.280623688,95112.25794207538
420,-1295442.9642797024,88165.54982761694
430,-1293216.8265603143,84185.63950078754
440,-1288068.8883328342,79164.50101502772
450,-1280562.9358632085,52264.33369798674
460,-1286489.0552226629,53179.96517694737
470,-1281656.8588217557,53595.68285903536
480,-1278395.2102225102,55841.93039395218
490,-1281205.5361982356,45378.26173005832
500,-1269026.033380452,40355.13305449145
510,-1270595.6753783887,39222.34056500016
520,-1273253.3250359038,37965.01230181886
530,-1271353.4320764563,40825.09386795944
540,-1274589.5512186158,41343.752744564765
550,-1266680.0560055277,38040.69047394864
560,-1270467.6576391621,40432.21385834074
570,-1264938.7804967957,35139.14667047615
580,-1259623.872608432,38897.07350489364
590,-1260462.3021465477,36153.27538268972
600,-1264164.5008029002,41900.29425207895
610,-1255608.1235578486,37347.82056486193
620,-1266935.7697436907,34053.08169301842
630,-1259644.8015229574,46794.87358665307
640,-1261608.0890653355,50235.324274011895
650,-1259945.9178932759,54523.08986995744
660,-1257417.037479233,51875.64767821995
670,-1257236.6628936704,51517.86865943338
680,-1260485.2508553173,63805.775594786675
690,-1258891.3823849815,57340.976189376335
700,-1251022.9809338425,57402.224980045256
710,-1255210.284250826,49781.68542736346
720,-1247190.1897418187,59994.19327486393
730,-1246315.9204329357,64081.94606381416
740,-1250221.384746988,58924.06413310489
750,-1243295.9295678216,62163.49829553849
760,-1242667.3822608527,57396.59108889181
770,-1243543.9735861146,55372.901615489274
780,-1245803.4097057665,63037.861995910775
790,-1232072.0661282502,59050.88990709851
800,-1229941.1070346334,64451.84730570574
810,-1224538.5942677935,63036.0591100438
820,-1220639.997725643,60717.75420278666
830,-1224422.4287253958,71858.7287242299
840,-1224819.8458030804,65977.99456864277
850,-1223055.798176604,71735.2650906007
860,-1227760.6804200143,71913.63261218935
870,-1215550.6176828896,67840.26413780813
880,-1215865.5675909198,70576.37005551111
890,-1215698.4955973825,75163.30356817113
900,-1203134.2520028835,77343.5641052174
910,-1193726.5583175386,81744.46372008022
920,-1191653.5311225653,74811.02860398743
930,-1189064.1025753564,76356.39067475885
940,-1182706.488949315,81456.51661570922
950,-1171796.4478127111,78177.88037114931
960,-1168925.041915719,81545.49388627308
970,-1177930.4351257847,83227.42949127742
980,-1173456.8326675543,85334.45595696062
990,-1183727.6793016254,85096.88929406698
1000,-1166996.3448749527,85239.26038532204
1010,-1164428.9428155604,83209.55021038264
1020,-1165956.1750839455,82079.90755708334
1030,-1165654.6886251015,74170.22190330767
1040,-1169444.8827280037,74753.99962207722
1050,-1169044.8433401235,74210.2008265236
1060,-1167114.5415699566,80679.62702023816
1070,-1173418.9334905935,81508.36691475069
1080,-1169031.978410717,79975.9709996743
1090,-1170639.3054133067,71178.39632852699
1100,-1164773.1350005886,75501.23965258732
1110,-1172061.1742500542,83374.14778510208
1120,-1168447.787408226,75902.40935674137
1130,-1160207.6255269398,76121.87596104495
1140,-1156324.0546308977,74977.94210287965
1150,-1157556.5721017565,75573.02332842149
1160,-1152893.2749017798,79014.06113530013
1170,-1148918.3678306197,80083.28703879767
1180,-1149945.891800012,78393.40604531474
1190,-1143794.6364851077,79634.49781529362
1200,-1145084.5345166354,75532.23109049865
1210,-1141160.7423039074,83324.19954748274
1220,-1140237.8288426255,87272.15364387525
1230,-1146752.8069751733,88301.33233482059
1240,-1142314.0972125283,81918.81911532194
1250,-1141267.7697381114,80751.43105585687
1260,-1147573.6593078286,85431.57645443102
1270,-1146183.2037762692,87570.18914333363
1280,-1136159.3997179237,81683.73971123851
1290,-1133531.4047186358,80698.68240067987
1300,-1133122.7167347306,72827.69586225189
1310,-1133723.2060358285,83714.57921400577
1320,-1131786.1364430436,78135.94039550346
1330,-1139968.9991060533,82752.13023854193
1340,-1134819.0399177144,81169.40389691497
1350,-1131162.363796797,77269.2483815659
1360,-1132503.6628964164,80859.68232517582
1370,-1129005.8729888538,81103.37450510712
1380,-1138394.1847979687,75100.22810435673
1390,-1130956.8399773166,82062.48079803104
1400,-1121949.3192021858,87992.4274933094
1410,-1120096.63747553,80999.04415633283
1420,-1114657.8618071321,82400.46029265976
1430,-1118575.7297326587,82744.25702032735
1440,-1130450.3740112064,87202.72746556239
1450,-1128181.5170336054,78414.3572847377
1460,-1124576.6538268286,74494.27775888909
1470,-1116209.1825250674,69225.52062016296
1480,-1110529.51930174,69660.23957887966
1490,-1117947.2749959477,78234.80021023043
1500,-1109713.0057254913,75812.67664939616
1510,-1121493.3374730316,80234.92027101571
1520,-1126012.313303741,71019.72250598596
1530,-1116834.5872755328,70113.4581139357
1540,-1115238.804596445,70885.17041623859
1550,-1113290.783323261,69660.75209060188
1560,-1117443.3645200662,70372.60045654503
1570,-1123162.7759707202,70726.12265455416
1580,-1116084.9078758263,69557.14007186005
1590,-1116959.410520676,66988.82318172719
1600,-1124914.1289124792,76869.75414988489
1610,-1122137.0804905007,71060.09553425417
1620,-1106620.5263570554,64345.70218296098
1630,-1110105.478115723,68960.01481267718
1640,-1118437.8387721283,65896.77380675904
1650,-1124431.0477261296,70765.50614937447
1660,-1124425.1588407275,66511.65076725093
1670,-1122971.8836780586,63258.43857773267
1680,-1117642.839947381,74842.70119646046
1690,-1114734.8013207135,74322.22541051048
1700,-1115621.8355156803,78403.2253479529
1710,-1111292.613898194,71545.39140937878
1720,-1101771.7199503095,62456.5554378799
1730,-1105652.282253085,67555.77675921995
1740,-1105482.5407120788,65433.04655874379
1750,-1095152.0697176459,68720.12408767125
1760,-1110554.0329851576,65587.78455757012
1770,-1112698.2758091805,70571.28521451636
1780,-1098275.109423624,68925.85079457785
1790,-1104907.6513418506,74053.77291357484
1800,-1102286.5552308366,66460.64681928506
1810,-1096886.7209311952,69519.51768590095
1820,-1088117.7483283083,72413.43505223203
1830,-1095698.7948406446,68192.60210562148
1840,-1095768.8689999545,73674.44559067364
1850,-1102561.5682162144,74680.85220367393
1860,-1099886.9500919818,71103.33584859296
1870,-1092423.1211069454,69280.52167765501
1880,-1094699.169394419,68348.69638866906
1890,-1095363.7520247553,73635.62383519532
1900,-1104822.3848522892,75355.31510974918
1910,-1096884.0488532074,83856.25864522226
1920,-1091808.300188164,70174.8321448171
1930,-1098423.1339331525,77470.48510992341
1940,-1102392.4946735562,77150.41841015602
1950,-1097877.0772062787,77415.79008321468
1960,-1098175.452357777,79146.44577662523
1970,-1101142.7211720431,76272.79118325487
1980,-1091256.5735554332,71202.34890276696
1990,-1102484.7752978066,72965.65128081485
2000,-1093819.6616800735,72713.4955402785
2010,-1089748.5941857,72010.48325051143
2020,-1091286.1558621237,69317.42290866286
2030,-1085553.491352524,67235.06118340298
2040,-1088734.8531702687,70981.69203343238
2050,-1092633.513934453,74309.98087819002
2060,-1091821.8962639957,63541.34558699581
2070,-1092924.0875134275,71712.95768984056
2080,-1086733.7903733405,80650.33148860394
2090,-1083936.7130059553,71690.57552169076
2100,-1079819.2442999645,68801.19591903493
2110,-1091710.299715451,75312.86155985727
2120,-1083842.2174490127,71225.53089140973
2130,-1081295.1140875276,68541.3401369022
2140,-1084207.061767185,66896.255312073
2150,-1083486.0241085368,60874.84221796883
2160,-1084148.8062861844,73361.59297966263
2170,-1083801.5885165655,72213.60605674809
2180,-1087040.7281053,74158.39518292785
2190,-1088891.137725791,65696.02085621016
2200,-1087948.8859575926,69800.7650230268
2210,-1087174.3086603824,78273.28989983366
2220,-1076037.1591453196,74501.25284732513
2230,-1079493.0610492385,74760.39218624006
2240,-1074354.8240642524,70230.86285474937
2250,-1084096.4120293863,70666.11264539199
2260,-1081596.1560000554,66847.19229686586
2270,-1089569.855504345,71754.00274465965
2280,-1087650.3405831805,75186.60182432942
2290,-1079805.7840563962,72731.35952780202
2300,-1081487.8476223699,61205.593191162014
2310,-1079361.3775201566,71457.21853264478
2320,-1075754.290210054,70752.3820623118
2330,-1070700.1156735127,67051.9920145818
2340,-1066629.4243716127,67033.9845703739
2350,-1062216.716373481,76638.13325043285
2360,-1068788.3735278626,76999.82872121665
2370,-1070246.8979770637,80297.92791171922
2380,-1051093.029199012,71357.96105418813
2390,-1057030.817271354,83119.0783112795
2400,-1068450.791085324,72986.25994040513
2410,-1063937.9226520592,66683.4568378524
2420,-1058239.8505415295,74755.10300279902
2430,-1053436.7247474962,78291.23281689068
2440,-1061244.4134104005,73749.35587913656
2450,-1050129.5787977837,71262.08639658983
2460,-1043038.0283273144,78542.37104434085
2470,-1052517.5342407604,75295.29937759353
2480,-1052160.8782619257,79077.82528993303
2490,-1050239.6539811292,70420.02632958963
2500,-1052405.4913516245,80489.30925329843
2510,-1057312.468804784,78164.90624925209
2520,-1048231.321090122,80374.6289195576
2530,-1043091.7037382371,69545.37379360972
2540,-1050212.3666569213,72837.6165284818
2550,-1051680.3652612835,68534.26504297902
2560,-1047083.691081852,73269.56404381774
2570,-1050781.4650028632,70962.99312463331
2580,-1050533.4217137503,68962.82580037626
2590,-1045430.3434707684,67978.51933060536
2600,-1048947.429921487,70078.68939252305
2610,-1043274.544827364,75907.15896256671
2620,-1048483.5703899122,72633.69904838447
2630,-1042017.7699871438,69419.8669167587
2640,-1048610.7019458148,71805.4281030699
2650,-1049592.75925319,62760.09424758692
2660,-1050585.1976231795,64867.31950345928
2670,-1038555.5368516762,68124.24688550623
2680,-1044421.9791009357,70753.07101815652
2690,-1045134.9239108295,69176.27393829128
2700,-1043949.2914247366,74979.87495939771
2710,-1053356.4871168453,85118.674802251
2720,-1038396.1830164352,78532.7795877638
2730,-1037358.3515699363,72519.62258717761
2740,-1035907.271834949,77881.35930651681
2750,-1029911.428821044,68655.0668899018
2760,-1040476.8433747999,62622.372582539945
2770,-1041926.9321686473,71091.18243740447
2780,-1044499.3207299408,68751.15880421798
2790,-1049588.020486442,61573.49741299669
2800,-1038877.9730367033,62475.622196862096
2810,-1043872.555742348,69685.10963980175
2820,-1036470.1795436034,62859.592179608815
2830,-1030164.9561496141,75955.16637087203
2840,-1022657.3803853657,80347.6572169925
2850,-1024673.3245382387,70638.42834463682
2860,-1025861.8859688066,71140.26459313455
2870,-1032314.657105191,74408.84044896916
2880,-1024818.2184339665,67512.33020546271
2890,-1019184.0259139771,70134.43324898827
2900,-1012898.432872591,70018.06025241649
2910,-1009589.7825372273,65480.55538386859
2920,-1013909.0922654591,73841.26315517089
2930,-1013948.9366919755,70348.29768631385
2940,-1012634.9958866846,72897.98038927013
2950,-1017525.8872854309,72261.10624853488
2960,-1018826.7814177938,63978.95760569706
2970,-1017148.8826020665,74325.40591021405
2980,-1015369.4140127718,71476.33687188744
2990,-1014643.055655232,70508.63813062457
3000,-1021989.3108237318,75353.43430058232
