iteration,mean,std
1,-3665828.2,42410.04884293344
2,-3505050.1,78725.99246478255
3,-3219584.4,150802.8942367818
4,-3072043.35,205262.80136386136
5,-2813539.85,145278.6353816004
6,-2636738.8,121882.63203645957
7,-2538695.75,187193.30691981217
8,-2348257.4,214046.16897585438
9,-2265997.775,210794.08110280873
10,-2264445.35,205444.7210203757
11,-2211938.125,208653.1555619876
12,-2168303.975,204092.62867774034
13,-2047179.7,194464.80914900772
14,-2015839.35,212902.38905015838
15,-2004744.275,198408.5866835846
16,-2094380.075,194926.43330567688
17,-2190359.625,211749.12674858308
18,-2023772.35,168462.31873764828
19,-2007198.525,201860.3175061037
20,-2078532.1,131170.55776941715
21,-1965649.95,190075.21655463462
22,-1976850.675,193127.4188244577
23,-1974169.35,207340.808232762
24,-1945614.5,189513.21850744344
25,-1937887.125,187231.4554721976
26,-1897659.825,193428.4710654303
27,-1940270.175,192815.04752627583
28,-1874570.275,195381.33345003816
29,-1882299.05,136764.8947392157
30,-1881686.05,142219.33529694108
31,-1950451.725,146886.3243143401
32,-1967440.6,163862.95439721495
33,-1902623.425,150192.79978842195
34,-1920965.55,174648.6648471296
35,-1899911.8,167745.63431484962
36,-1877267.275,174432.04140094933
37,-1814656.375,193204.60402842695
38,-1774179.325,174570.58939798537
39,-1799746.625,166054.83110651284
40,-1785187.45,155392.66723526965
41,-1719362.275,158074.90110412057
42,-1729458.0,161967.5608001298
43,-1723171.475,160417.59960616071
44,-1801310.9,132643.03198211637
45,-1649304.3,131453.91660712796
46,-1739441.375,131935.8074193185
47,-1697713.6,107069.616134533
48,-1677967.0,141426.8559462806
49,-1688563.025,137343.0857844553
50,-1668967.35,144154.38482520657
51,-1705610.825,144989.16523560043
52,-1628391.3,167399.4734490412
53,-1674223.625,194522.98077791478
54,-1709863.3,191301.20028683823
55,-1701165.45,210939.25635934863
56,-1673321.05,192888.0785267327
57,-1607973.225,159865.49102472834
58,-1644703.375,170837.11617744254
59,-1669349.775,171826.68778085668
60,-1635684.125,118273.59848038784
61,-1624566.025,138581.45372026248
62,-1654656.025,180958.81045315604
63,-1646455.75,171785.98841460046
64,-1622984.175,120832.21466530563
65,-1622144.925,156456.94777792707
66,-1650462.375,179167.042049818
67,-1612066.875,167724.36087834707
68,-1677229.1,159479.54091178515
69,-1570547.2,150253.31131631092
70,-1604976.9,161638.43628298547
71,-1695042.55,208257.65836588398
72,-1636975.475,164184.56459672147
73,-1657734.375,158443.05447784308
74,-1621758.65,173605.54592326537
75,-1616376.35,176796.6156033431
76,-1574923.85,128076.959845082
77,-1545466.325,122139.0611288164
78,-1585784.975,112055.12729418052
79,-1519077.025,95361.13419851664
80,-1565367.65,114188.3597781917
81,-1590349.4,113863.78322853585
82,-1577212.55,113199.19669366586
83,-1582633.625,110643.59034618206
84,-1556442.65,103179.20671868073
85,-1588070.9,122084.15945205586
86,-1565988.225,107631.56912856702
87,-1547169.075,103478.5384479434
88,-1584861.5,82127.57034177834
89,-1595070.675,89866.16902502855
90,-1604754.45,105929.01140001733
91,-1540722.675,93189.5625989574
92,-1528465.9,111646.31738439137
93,-1544441.425,98068.61775874074
94,-1567904.675,101023.31112049091
95,-1541268.575,133210.31322106314
96,-1581668.875,116824.44439283137
97,-1540797.4,98038.7993123577
98,-1560854.55,94203.942291764
99,-1616939.75,108057.87476949563
100,-1526578.9,118122.3249705152
101,-1565114.05,92787.25762997444
102,-1603156.95,96914.33392791414
103,-1513297.475,71322.90394494604
104,-1538983.95,96579.72309048624
105,-1472860.875,76361.94385797647
106,-1528971.975,101403.74633471388
107,-1568149.125,87686.80904474742
108,-1552579.325,102117.06952725876
109,-1544082.35,75867.48332748524
110,-1504516.375,83388.16828419815
111,-1574694.975,85475.07055029261
112,-1557939.725,69641.98201688404
113,-1506241.05,60226.0647152979
114,-1526748.9,72141.97543448613
115,-1554067.55,56052.17533984519
116,-1511983.5,99694.92249570687
117,-1504803.275,91125.23400664056
118,-1533624.625,106669.39710810337
119,-1480128.75,82038.91887989048
120,-1515973.075,89409.94772932149
121,-1527725.725,69252.00119488426
122,-1496670.925,88594.11095057335
123,-1500949.85,83501.72669986381
124,-1508857.175,77792.84746610706
125,-1486343.625,81134.39221825107
126,-1555861.5,66099.96388255442
127,-1525132.9,82536.25570538684
128,-1457639.075,81179.14209406718
129,-1515270.775,76750.1753927719
130,-1472861.2,89670.80215615756
131,-1531729.875,55033.411816425214
132,-1501509.0,92659.0864984042
133,-1525512.05,86286.05453169996
134,-1536756.3,92743.71148393971
135,-1521646.425,76546.9203630035
136,-1523500.175,85438.60338766663
137,-1505922.325,62875.709409546624
138,-1525813.775,88384.56259821338
139,-1485141.0,83688.99419226222
140,-1468462.15,86131.24953821929
141,-1555179.575,64631.118881580565
142,-1510206.3,59744.878109529185
143,-1543680.125,83826.60357599787
144,-1564408.3,77799.87455808492
145,-1574409.025,96628.45758000072
146,-1539480.25,98129.6199342673
147,-1534742.65,83625.54436472297
148,-1541472.075,57021.95753460898
149,-1488643.525,83957.6782707886
150,-1507399.65,75008.60850859887
151,-1480607.4,72212.68140787323
152,-1492770.05,72977.5546304564
153,-1467202.55,67318.25542110587
154,-1445229.8,98700.08612751435
155,-1460174.9,86727.58973887721
156,-1489051.675,74145.03554873043
157,-1494888.95,68974.54381638744
158,-1493456.85,86095.63402727661
159,-1532321.375,87244.27391092064
160,-1514084.05,101011.2246868077
161,-1568096.875,91636.30344079659
162,-1491114.225,77069.78445070091
163,-1506155.025,82083.56561533801
164,-1544990.55,91927.60297329769
165,-1513082.675,90996.09911490025
166,-1540549.775,94077.05718785796
167,-1511989.95,66815.05470558263
168,-1567272.1,58717.34705345815
169,-1506731.3,58199.47552741562
170,-1517497.975,59577.842295311435
171,-1530023.725,56470.23986581339
172,-1507076.45,80814.36419924833
173,-1509353.025,70642.56358511843
174,-1500459.425,79690.75141529914
175,-1471210.0,77977.32752165048
176,-1517542.325,79615.33012537536
177,-1495904.975,64257.56090202537
178,-1418063.45,98441.8294978245
179,-1424257.625,99448.29578397762
180,-1513041.4,115382.80092190408
181,-1457823.425,117340.48952220201
182,-1517190.825,116975.06721719056
183,-1480650.425,85933.42328718059
184,-1441430.975,136984.24836250333
185,-1438872.8,134726.47739221956
186,-1444674.025,149419.16230575147
187,-1395524.45,126811.21312214469
188,-1448706.275,143970.86369202452
189,-1452233.175,144313.63112338434
190,-1451981.725,150604.0219477347
191,-1438149.825,119590.16648991253
192,-1459332.375,129338.81784080234
193,-1445319.85,134029.42656135256
194,-1433650.5,132462.064937452
195,-1390402.325,156626.5594468775
196,-1435996.475,131793.14400572967
197,-1422964.075,134613.46102548586
198,-1376533.075,117698.70137823315
199,-1397063.525,156452.7307003101
200,-1424690.85,147692.10704380923
